Date,Home Team,Away Team,Win or Loss for Celtics,Win or Loss for Warriors,Celtics score,Warriors score,Streak
"Mar 1, 1957 ",Celtics,Warriors,W,L,90,80,Celtics won 1
"Feb 22, 1957 ",Warriors,Celtics,L,W,109,117,Warriors won 1
"Feb 10, 1957",Celtics,Warriors,W,L,103,98,Celtics won 5
"Jan 28, 1957 ",Celtics,Warriors,W,L,105,95,Celtics won 4
"Jan 27, 1957 ",Warriors,Celtics,W,L,107,87,Celtics won 3
"Jan 1, 1957 ",None,None,W,L,100,87,Celtics won 2
"Dec 26, 1956 ",Celtics,Warriors,W,L,120,97,Celtics won 1
"Dec 25, 1956 ",None,None,L,W,82,89,Warriors won 3
"Dec 16, 1956 ",None,None,L,W,104,116,Warriors won 2
"Dec 6, 1956 ",Warriors,Celtics,L,W,111,113,Warriors won 1
"Nov 22, 1956 ",Warriors,Celtics,W,L,101,78,Celtics won 2
"Nov 21, 1956 ",Celtics,Warriors,W,L,95,83,Celtics won 1
"Mar 8, 1956 ",Warriors,Celtics,L,W,120,142,Warriors won 1
"Mar 4, 1956 ",Celtics,Warriors,W,L,128,114,Celtics won 1
"Feb 24, 1956 ",Warriors,Celtics,L,W,129,135,Warriors won 1
"Feb 19, 1956 ",Celtics,Warriors,W,L,120,118,Celtics won 1
"Feb 18, 1956 ",None,None,L,W,101,115,Warriors won 3
"Jan 23, 1956 ",None,None,L,W,104,120,Warriors won 2
"Jan 22, 1956 ",Celtics,Warriors,L,W,115,129,Warriors won 1
"Jan 14, 1956 ",Warriors,Celtics,W,L,104,103,Celtics won 2
"Jan 1, 1956 ",Celtics,Warriors,W,L,121,113,Celtics won 1
"Dec 13, 1955 ",None,None,L,W,108,109,Warriors won 2
"Nov 17, 1955 ",Warriors,Celtics,L,W,92,106,Warriors won 1
"Nov 5, 1955 ",Celtics,Warriors,W,L,98,87,Celtics won 2
"Mar 8, 1955 ",None,None,W,L,112,103,Celtics won 1
"Mar 5, 1955 ",Warriors,Celtics,L,W,89,95,Warriors won 1
"Feb 20, 1955 ",Celtics,Warriors,W,L,114,99,Celtics won 1
"Feb 11, 1955 ",Warriors,Celtics,L,W,101,105,Warriors won 3
"Feb 6, 1955 ",Celtics,Warriors,L,W,109,113,Warriors won 2
"Feb 2, 1955 ",None,None,L,W,107,122,Warriors won 1
"Jan 23, 1955",Celtics,Warriors,W,L,94,91,Celtics won 5
"Jan 21, 1955 ",None,None,W,L,90,89,Celtics won 4
"Jan 8, 1955 ",Celtics,Warriors,W,L,117,105,Celtics won 3
"Dec 31, 1954 ",None,None,W,L,119,113,Celtics won 2
"Dec 18, 1954 ",Celtics,Warriors,W,L,107,103,Celtics won 1
"Nov 25, 1954 ",Warriors,Celtics,L,W,98,103,Warriors won 1
"Mar 14, 1954 ",Celtics,Warriors,W,L,97,92,Celtics won 3
"Mar 12, 1954",None,None,W,L,97,95,Celtics won 2
"Feb 21, 1954 ",None,None,W,L,95,85,Celtics won 1
"Feb 4, 1954 ",Warriors,Celtics,L,W,78,80,Warriors won 2
"Jan 19, 1954 ",Warriors,Celtics,L,W,73,89,Warriors won 1
"Dec 20, 1953 ",None,None,W,L,101,89,Celtics won 1
"Dec 9, 1953",Warriors,Celtics,L,W,103,104,Warriors won 1
"Dec 1, 1953",None,None,W,L,89,86,Celtics won 1
"Nov 11, 1953 ",Celtics,Warriors,L,W,72,78,Warriors won 1
"Nov 7, 1953 ",Warriors,Celtics,W,L,79,77,Celtics won 4
"Mar 15, 1953 ",Celtics,Warriors,W,L,103,87,Celtics won 3
"Mar 4, 1953 ",None,None,W,L,82,75,Celtics won 2
